,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
323,Jason Isbell and the 400 Unit,Strawberry Woman,track,Weathervanes,13,2023-06-09
324,K.Flay,"T-Rex (from the Netflix Film ""Nimona"")",track,"T-Rex (from the Netflix Film ""Nimona"")",1,2023-06-23
325,The Elovaters,Sunlight,track,Endless Summer,14,2023-07-28
326,Manchester Orchestra,The Way,track,The Way,2,2023-03-07
327,Moon Taxi,Lay Low,track,Set Yourself Free,13,2023-06-09
328,blink-182,MORE THAN YOU KNOW,track,ONE MORE TIME...,17,2023-10-20
329,Foo Fighters,Rescued,track,But Here We Are,10,2023-06-02
330,blink-182,ONE MORE TIME,track,ONE MORE TIME...,19,2023-10-27
331,The Killers,Your Side of Town,track,Your Side of Town,1,2023-08-25
332,All Time Low,New Religion (feat. Teddy Swims),track,Tell Me I'm Alive,13,2023-03-17
333,Nothing But Thieves,Tomorrow Is Closed,track,Dead Club City,11,2023-06-30
334,NEEDTOBREATHE,When You Forgive Someone,track,CAVES,11,2023-09-15
335,Friday Pilots Club,Life Support,track,Life Support / Ms. Supernova,2,2023-02-09
336,Rebounder,Boy Friday,track,Summer Songs,6,2023-06-08
337,quannnic,Comatose,track,Stepdream,12,2023-11-10
338,Lauren Daigle,Turbulent Skies,track,Lauren Daigle,23,2023-09-08
339,Foo Fighters,The Glass,track,But Here We Are,10,2023-06-02
340,Nothing But Thieves,Welcome to the DCC,track,Dead Club City,11,2023-06-30
341,Sophie Powers,Better On Mute,track,Better On Mute,1,2023-11-10
342,The Who,Join Together - Original Single A-Side Mix,track,Who’s Next : Life House (Super Deluxe),109,2023-09-15
